City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
349,tonekabon,36.8163,50.8738,27.97,71,28,2.38,IR,1690442113
350,petawawa,45.9001,-77.3328,18.77,95,100,2.0,CA,1690442113
351,fegyvernek,47.2667,20.5333,18.33,48,0,2.0,HU,1690442113
352,ponta delgada,37.7333,-25.6667,21.4,88,20,3.09,PT,1690441847
353,usogorsk,63.4106,48.6872,19.33,66,100,4.42,RU,1690442114
354,amga,60.8953,131.9608,24.57,38,100,2.48,RU,1690442114
355,souillac,-20.5167,57.5167,25.21,73,40,4.63,MU,1690442114
356,khovd,48.0056,91.6419,28.33,22,72,4.72,MN,1690442115
357,touros,-5.1989,-35.4608,23.64,91,64,4.87,BR,1690442115
358,mount pleasant,32.7941,-79.8626,25.56,96,0,0.0,US,1690442116
